open_time,open,high,low,close,volume
2026-07-07T10:00:00+00:00,577.94000000,580.00000000,577.82000000,578.47000000,3240.51500000
2026-07-07T11:00:00+00:00,578.46000000,580.40000000,577.27000000,580.23000000,3702.43100000
2026-07-07T12:00:00+00:00,580.23000000,582.40000000,579.98000000,581.09000000,4598.24000000
2026-07-07T13:00:00+00:00,581.08000000,581.28000000,576.85000000,577.48000000,4490.29900000
2026-07-07T14:00:00+00:00,577.50000000,581.52000000,575.28000000,581.01000000,6211.70700000
2026-07-07T15:00:00+00:00,581.01000000,585.61000000,579.50000000,584.74000000,6826.74600000
2026-07-07T16:00:00+00:00,584.73000000,587.16000000,583.41000000,585.28000000,4804.60200000
2026-07-07T17:00:00+00:00,585.28000000,586.49000000,584.20000000,585.97000000,4903.82700000
2026-07-07T18:00:00+00:00,585.98000000,585.98000000,582.28000000,582.38000000,3597.61300000
2026-07-07T19:00:00+00:00,582.38000000,584.29000000,580.01000000,583.29000000,4385.15500000
2026-07-07T20:00:00+00:00,583.29000000,583.80000000,580.18000000,580.71000000,2862.77800000
2026-07-07T21:00:00+00:00,580.72000000,581.54000000,577.82000000,578.04000000,4540.94700000
2026-07-07T22:00:00+00:00,578.05000000,579.63000000,576.69000000,578.59000000,2222.80200000
2026-07-07T23:00:00+00:00,578.58000000,579.25000000,576.40000000,576.82000000,1897.60000000
2026-07-08T00:00:00+00:00,576.83000000,578.94000000,576.16000000,578.62000000,3099.06700000
2026-07-08T01:00:00+00:00,578.63000000,579.00000000,571.39000000,572.06000000,7098.01000000
2026-07-08T02:00:00+00:00,572.07000000,572.07000000,567.45000000,571.14000000,8698.68600000
2026-07-08T03:00:00+00:00,571.15000000,572.47000000,568.55000000,569.05000000,3654.81800000
2026-07-08T04:00:00+00:00,569.06000000,569.87000000,568.19000000,569.54000000,3034.57500000
2026-07-08T05:00:00+00:00,569.55000000,570.31000000,567.52000000,568.20000000,2408.67900000
2026-07-08T06:00:00+00:00,568.21000000,568.37000000,565.98000000,566.56000000,5992.60100000
2026-07-08T07:00:00+00:00,566.56000000,568.10000000,565.23000000,567.94000000,4031.61900000
2026-07-08T08:00:00+00:00,567.94000000,568.76000000,560.73000000,561.55000000,9116.35800000
2026-07-08T09:00:00+00:00,561.56000000,563.38000000,560.40000000,561.50000000,4525.84500000
2026-07-08T10:00:00+00:00,561.51000000,563.36000000,560.61000000,562.83000000,4648.18500000
2026-07-08T11:00:00+00:00,562.83000000,568.78000000,562.28000000,566.13000000,5834.56000000
2026-07-08T12:00:00+00:00,566.14000000,566.72000000,563.76000000,563.93000000,2974.30900000
2026-07-08T13:00:00+00:00,563.94000000,566.05000000,562.73000000,565.36000000,4455.72100000
2026-07-08T14:00:00+00:00,565.37000000,567.38000000,563.31000000,564.48000000,6452.04700000
2026-07-08T15:00:00+00:00,564.48000000,564.62000000,560.94000000,562.36000000,3692.87400000
2026-07-08T16:00:00+00:00,562.36000000,566.80000000,561.64000000,566.59000000,4743.14600000
2026-07-08T17:00:00+00:00,566.59000000,567.87000000,564.46000000,564.71000000,4013.94900000
2026-07-08T18:00:00+00:00,564.71000000,566.92000000,564.30000000,566.29000000,2170.60900000
2026-07-08T19:00:00+00:00,566.30000000,567.50000000,565.63000000,566.94000000,1400.53900000
2026-07-08T20:00:00+00:00,566.95000000,567.72000000,565.83000000,566.25000000,2202.71300000
2026-07-08T21:00:00+00:00,566.26000000,567.02000000,564.77000000,566.86000000,1680.14900000
2026-07-08T22:00:00+00:00,566.87000000,568.35000000,566.51000000,568.03000000,1938.05800000
2026-07-08T23:00:00+00:00,568.03000000,568.98000000,567.15000000,568.66000000,1549.87100000
2026-07-09T00:00:00+00:00,568.66000000,569.36000000,567.65000000,568.67000000,2331.02800000
2026-07-09T01:00:00+00:00,568.68000000,572.81000000,566.97000000,567.25000000,4242.21600000
2026-07-09T02:00:00+00:00,567.25000000,569.44000000,566.05000000,566.11000000,2475.91800000
2026-07-09T03:00:00+00:00,566.11000000,568.50000000,565.48000000,568.26000000,2157.85600000
2026-07-09T04:00:00+00:00,568.26000000,570.51000000,567.66000000,570.50000000,2790.50700000
2026-07-09T05:00:00+00:00,570.51000000,573.73000000,569.42000000,573.67000000,4704.28800000
2026-07-09T06:00:00+00:00,573.67000000,575.21000000,572.43000000,574.75000000,4821.14800000
2026-07-09T07:00:00+00:00,574.75000000,577.15000000,572.27000000,572.74000000,7477.49400000
2026-07-09T08:00:00+00:00,572.74000000,573.52000000,571.93000000,572.20000000,7618.41400000
2026-07-09T09:00:00+00:00,572.20000000,573.50000000,570.67000000,573.06000000,9199.19200000
2026-07-09T10:00:00+00:00,573.07000000,573.27000000,569.45000000,569.94000000,4022.89500000
2026-07-09T11:00:00+00:00,569.94000000,570.59000000,568.93000000,569.77000000,3200.15000000
2026-07-09T12:00:00+00:00,569.77000000,570.73000000,568.12000000,569.04000000,4957.60200000
2026-07-09T13:00:00+00:00,569.05000000,572.29000000,568.07000000,570.99000000,4193.80200000
2026-07-09T14:00:00+00:00,570.99000000,572.11000000,568.81000000,572.07000000,3598.84700000
2026-07-09T15:00:00+00:00,572.07000000,573.00000000,570.62000000,571.03000000,2300.14800000
2026-07-09T16:00:00+00:00,571.02000000,571.59000000,569.30000000,569.90000000,3028.82700000
2026-07-09T17:00:00+00:00,569.91000000,572.58000000,569.46000000,571.57000000,2112.27900000
2026-07-09T18:00:00+00:00,571.58000000,573.67000000,571.04000000,571.86000000,2560.50900000
2026-07-09T19:00:00+00:00,571.87000000,571.95000000,570.09000000,570.26000000,1837.87600000
2026-07-09T20:00:00+00:00,570.26000000,570.75000000,569.47000000,570.08000000,1268.79900000
2026-07-09T21:00:00+00:00,570.08000000,571.21000000,570.01000000,570.36000000,1244.87100000
2026-07-09T22:00:00+00:00,570.36000000,571.06000000,569.76000000,570.43000000,1723.12200000
2026-07-09T23:00:00+00:00,570.43000000,570.54000000,568.62000000,568.72000000,1753.82100000
2026-07-10T00:00:00+00:00,568.73000000,570.80000000,568.02000000,570.80000000,2038.10200000
